"Treatment Code","Quantity"
HH_1LSFN,117560
HH_2LEFN,51700
HH_3QSFN,23690
HH_LF2R1E,67230
HH_LF2R1W,1040
HH_LF2R2E,59460
HH_LF2R2W,4270
HH_LF2R3AE,61570
HH_LF2R3AW,6420
HH_LF2R3BE,3860
HH_LF2R3BW,2140
HH_LF3R1E,161910
HH_LF3R1W,7610
HH_LF3R2E,181800
HH_LF3R2W,12640
HH_LF3R3AE,211080
HH_LF3R3AW,11960
HH_LF3R3BE,4710
HH_LF3R3BW,5560
HH_LFNR1E,623740
HH_LFNR1W,23450
HH_LFNR2E,638720
HH_LFNR2W,44540
HH_LFNR3AE,768880
HH_LFNR3AW,46460
HH_LFNR3BE,10380
HH_LFNR3BW,21280
HH_QF2R1E,4630
HH_QF2R1W,2220
HH_QF2R2E,5730
HH_QF2R2W,2370
HH_QF2R3AE,2740
HH_QF2R3AW,5940
HH_QF3R1E,19120
HH_QF3R1W,17370
HH_QF3R2E,28820
HH_QF3R2W,10040
HH_QF3R3AE,8700
HH_QF3R3AW,8050
HH_QFNR1E,35660
HH_QFNR1W,50600
HH_QFNR2E,48590
HH_QFNR2W,32330
HH_QFNR3AE,14260
HH_QFNR3AW,29170
