ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY
DDR190314000459731653,DDR190314000796339537,33328341624,HH,Household,U,RD06,,38 Scope Removable Passage,,,Earnings Hamlet,WA3 6IW,-171.2327,-40.7724,W53668786,E79165018,N22398749,E53391609,W48228227,3,5,HH_1LSFN,,,
DDR190314000589819121,DDR190314000701667790,26146662067,HH,Household,U,RD06,,493 Mariah Essay Road,,,Ontario Village,CC2 1QZ,71.1359,10.6003,W45375854,E86580548,N67951291,N80644181,E78967039,2,5,HH_1LSFN,,,
DDR190314000777955892,DDR190314000443886545,75924569182,HH,Household,U,RD04,,37 Linking Ethiopia Street,,,Pets City,RV9 7KX,52.9025,-169.8401,E59690821,W46890601,W17148591,E66072750,W90426668,1,3,HH_1LSFN,,,
DDR190314000970082133,DDR190314000950320631,25408862847,HH,Household,U,RD06,,288 Reality Redhead Road,,,Admin Town,OW2 6TZ,-137.9984,-140.2912,W39258566,W32162252,W24793339,E59455960,N37243025,1,3,HH_1LSFN,,,
DDR190314000447402461,DDR190314000638658447,43414372928,HH,Household,U,RD02,,722 Highs Remains Way,,,Interest City,LY4 7SX,17.7366,51.7528,W17812102,N65645426,N83330967,W45327610,N88644068,2,3,HH_1LSFN,,,
DDR190314000837631417,DDR190314000930145552,83491572689,HH,Household,U,RD03,,372 Evaluations Screening Alley,,,Federation Village,VI1 4ZS,101.4785,149.3647,W71513999,E78778810,N28079768,E10658729,E93155987,1,5,HH_1LSFN,,,
DDR190314000791389394,DDR190314000856041621,76377351451,HH,Household,U,RD04,,838 Bride Disability Lane,,,Judy Village,BF2 6GL,90.3281,-171.8689,E73589753,E50727513,N35291311,W58303372,E59396291,1,4,HH_1LSFN,,,
DDR190314000185954493,DDR190314000200283349,22739334317,HH,Household,U,RD06,,428 Branches Wholesale Way,,,Literacy City,PZ6 1TW,8.6916,96.4757,N55447596,N71352865,N29718795,E14725032,W54363458,1,2,HH_1LSFN,,,
DDR190314000746385519,DDR190314000475542872,88589399113,HH,Household,U,RD02,,787 Charts Legends Avenue,,,Hardcore Town,XC7 7ZI,4.8533,135.1809,N27139867,E22801832,E93094483,E87955202,N24339212,3,3,HH_1LSFN,,,
DDR190314000262529860,DDR190314000110969243,26956997294,HH,Household,U,RD02,,451 Catalyst Physics Passage,,,Delaware Hamlet,KP2 7RV,23.6029,123.2188,W10698480,E49199238,N71968970,N12553322,W87350249,1,3,HH_1LSFN,,,
DDR190314000720911985,DDR190314000561622590,41533102961,HH,Household,U,RD06,,735 Scanning Indexed Alley,,,Funky Town,HQ8 8FC,168.4113,-99.5017,E23725503,W17594678,W27214466,N62088030,E54019751,3,4,HH_1LSFN,,,
DDR190314000511156634,DDR190314000382662291,69289765608,HH,Household,U,RD05,,373 Wave Restored Street,,,Chapel City,QX3 5YJ,-40.9875,82.8977,N50445804,E85497537,W62130426,E78039701,W67988200,1,3,HH_1LSFN,,,
DDR190314000631472725,DDR190314000509453601,26676809357,HH,Household,U,RD03,,563 Rats Giant Street,,,Keep City,QE9 5YR,175.3231,-180.4485,N51761549,W22548230,N40127026,W41987898,E17862209,3,5,HH_1LSFN,,,
DDR190314000990837053,DDR190314000988241808,65921131187,HH,Household,U,RD04,,357 Workshop Raleigh Alley,,,Launch Hamlet,PY8 8OM,101.1643,-83.5220,E98844547,E49813304,W38018546,N52584274,N12477747,4,1,HH_1LSFN,,,
DDR190314000705043984,DDR190314000258237939,21074158448,HH,Household,U,RD06,,910 Peas Turner Road,,,Lloyd Hamlet,UX1 5IH,124.5000,-177.5455,N34991163,E97875576,N56890388,E29395186,W38669370,1,5,HH_1LSFN,,,
DDR190314000987901918,DDR190314000503259648,94016681559,HH,Household,U,RD04,,662 Begun Gossip Way,,,Litigation Hamlet,XJ4 1MT,-159.4232,-160.2886,E74570647,W38470659,E20672571,N34907626,W30179203,4,5,HH_1LSFN,,,
DDR190314000694472146,DDR190314000995711956,94716499034,HH,Household,U,RD02,,371 Circus Appointment Lane,,,Lying Town,HR4 9XQ,65.8395,-83.6601,W49305460,N47852544,N67587134,N68863702,W29223750,4,2,HH_1LSFN,,,
DDR190314000337206229,DDR190314000145271689,67871501116,HH,Household,U,RD06,,261 Segments Applicable Road,,,Preston Hamlet,ER1 4JB,-136.3401,124.3047,E81856639,E73809094,W83478557,N39920640,E27982118,3,1,HH_1LSFN,,,
DDR190314000526696009,DDR190314000318229908,87842475841,HH,Household,U,RD06,,816 Enhancements Dancing Alley,,,Spiritual Town,VI7 2ME,27.6314,-33.6945,N45544706,N44041945,E93417520,N43767953,E72604505,1,3,HH_1LSFN,,,
DDR190314000495485432,DDR190314000963584585,69125162034,HH,Household,U,RD02,,168 Annex Doubt Lane,,,Incoming Hamlet,LC3 8CO,103.5885,103.7542,W14549889,N18966269,W16391123,N57851189,W29318496,2,2,HH_1LSFN,,,
DDR190314000585801032,DDR190314000256930823,20518658067,HH,Household,U,RD06,,690 Evidence Water Avenue,,,Switching Village,ET8 7CU,-107.2552,-128.4575,N94092165,W11914475,W62519663,N53869063,E88211455,5,1,HH_1LSFN,,,
